timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1613997252366,4046,Statistics Instruments,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group - Statistics Instruments 3-1,text,false,Test failed: code expected to match /200/,2825,0,4,12,0,0,4046
1613997252385,4027,Ticks,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group - Ticks 1-1,text,false,Test failed: code expected to match /201|204/,2825,0,4,12,0,0,4027
1613997252366,4045,Statistics,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group - Statistics 2-1,text,false,Test failed: code expected to match /200/,2825,0,4,12,0,0,4045
1613997253482,4010,Ticks,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group - Ticks 1-2,text,false,Test failed: code expected to match /201|204/,2825,0,5,15,0,0,4010
1613997253535,4009,Statistics Instruments,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group - Statistics Instruments 3-2,text,false,Test failed: code expected to match /200/,2825,0,5,15,0,0,4009
1613997253517,4008,Statistics,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8081 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group - Statistics 2-2,text,false,Test failed: code expected to match /200/,2825,0,5,15,0,0,4008
1613997257116,1393,Statistics,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Statistics 2-5,text,false,Test failed: code expected to match /200/,2530,0,6,16,0,0,1393
1613997255922,2584,Statistics,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Statistics 2-4,text,false,Test failed: code expected to match /200/,2530,0,6,16,0,0,2584
1613997255934,2623,Statistics Instruments,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Statistics Instruments 3-4,text,false,Test failed: code expected to match /200/,2530,0,6,14,0,0,2623
1613997254679,3820,Ticks,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Ticks 1-3,text,false,Test failed: code expected to match /201|204/,2530,0,4,16,0,0,3820
1613997257072,1423,Ticks,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Ticks 1-5,text,false,Test failed: code expected to match /201|204/,2530,0,7,19,0,0,1423
1613997254733,3806,Statistics Instruments,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Statistics Instruments 3-3,text,false,Test failed: code expected to match /200/,2530,0,6,14,0,0,3806
1613997254715,3799,Statistics,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Statistics 2-3,text,false,Test failed: code expected to match /200/,2530,0,5,15,0,0,3799
1613997258316,205,Statistics,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Statistics 2-6,text,false,Test failed: code expected to match /200/,2530,0,4,14,0,0,205
1613997255876,2617,Ticks,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Ticks 1-4,text,false,Test failed: code expected to match /201|204/,2530,0,7,19,0,0,2617
1613997258282,221,Ticks,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Ticks 1-6,text,false,Test failed: code expected to match /201|204/,2530,0,5,17,0,0,221
1613997257134,1432,Statistics Instruments,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Statistics Instruments 3-5,text,false,Test failed: code expected to match /200/,2530,0,8,16,0,0,1432
1613997258334,229,Statistics Instruments,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group - Statistics Instruments 3-6,text,false,Test failed: code expected to match /200/,2530,0,5,13,0,0,229
